"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5232096","5382485","5539906","5706397","5877422","6056275","6227256","6407234","6596997","6796039","7004027","7206798","7418606","7639348","7869154","8111357","8347918","8597560","8660044","8705898","8733356","8992268","9261656","9540729","9830162","10130434","10433040","10748206","11056982",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13499249","13992349","14545398","15131639","15693440","16221771","16651293","17062141","17462736","17895729","18380352","18874827","19413767","19995655","20613959","21266404","21594538","21945062","22309863","22680764","23053237","23378053","23709903","24484529","25294095","26148681","27015877","27921049","28792364",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","898938","926588","955890","987363","1021143","1054971","1088701","1124992","1162238","1202202","1241891","1279482","1318805","1361182","1405968","1453045","1504934","1562068","1619506","1676485","1731624","1775220","1816707","1857497","1898389","1942830","1993459","2045481","2101890",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14109316","14499190","14922688","15317427","15777605","16254606","16696245","17190433","17660257","18048174","18572401","19065142","19510431","20110296","20130091","20348859","20463758","20577194","21125715","22382609","23047971","23647539","24316423","24540565","24937270","25482072","25818999","26202557","26734981",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92545","95596","98379","101498","105049","108421","111986","115461","119174","123006","126650","130526","134577","138816","143256","147847","152442","157358","162521","167817","173315","178769","184449","190298","196424","202781","208937","215326","221819",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112363","115846","119920","124414","129060","133695","138032","142228","146370","150646","155179","160538","166104","171892","177849","183954","190381","196842","203300","209709","216034","222152","228445","234774","240970","246930","252738","258288","263790",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1182657","1212766","1230638","1284768","1334489","1399845","1396388","1495195","1581323","1618881","1631460","1738715","1774636","1821741","1832981","1944576","1978401","2047384","2077851","2098576","2125653","2112227","2281634","2304768","2331066","2326233","2263027","2327598","2359814",
"Caribbean small states","CSS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380127","2423421","2469044","2511398","2557720","2589267","2618537","2642612","2663627","2692614","2719551","2751707","2784131","2828240","2879274","2927015","2968196","3006443","3045520","3077460","3105620","3138619","3187054","3249791","3294819","3328654","3382979","3419023","3447200",
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4111910","4183336","4250346","4309321","4360368","4402349","4447273","4472484","4492766","4510126","4540664","4569788","4610725","4654636","4694497","4791447","4876870","4988386","5048747","5167436","5148752","5154925","5150570","5153792","5153364","5146603","5130348","5114847","5113899",
"Curacao","CUW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342047","352191","360034","369466","381309","388868","399781","412290","421193","432227","445176","465338","475443","494573","509249","518098","531591","546826","557601","570797","585668","585591","589085","593740","604594","604303","603084","611132","615334",
"Czech Republic","CZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4944709","4979873","5025025","5079435","5138632","5158918","5156866","5134576","5155929","5184091","5153263","5132262","5133854","5128040","5125007","5180448","5186194","5185902","5205214","5249841","5241385","5232517","5269255","5321842","5322708","5336296","5387428","5419640","5406827",
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38880688","40037069","39884310","39660619","39918708","39793174","39815712","40042634","40074824","40291027","40252663","40335453","40453688","40658170","40561684","41261012","41609632","41889279","41895668","41957366","42016700","41700338","41807485","42203758","42456751","42780211","43294640","43582558","43695446",
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202882","208361","212253","215614","219000","223356","230465","238376","246940","255933","265188","272412","279787","287241","294571","301860","309201","316695","324407","332514","341124","350424","360068","370024","380173","390418","399821","409428","419128",
"Dominica","DMA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2871357","2874889","2877186","2858414","2780846","2825968","2836607","2857119","2845775","2878840","2863199","2854562","2890555","2870393","2898633","2900837","2931220","2930742","2962829","2952579","2929914","2928267","2911825","2894609","2907004","2931334","3024482","2986071","3000535",
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2433874","2495560","2563381","2628112","2689561","2755595","2824462","2897160","2970759","3043598","3113733","3184312","3255614","3317651","3382123","3458684","3599777","3649890","3742290","3666794","3831056","4046158","4111190","4197999","4293350","4576711","4676018","4754547","4835254",
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6447880","6715104","6963749","7256285","7547743","7803900","8055100","8258485","8467668","8679059","8890340","9117004","9338004","9557371","9778282","10000484","10213203","10419667","10621334","10820989","11093688","11310068","11541577","12002108","11586092","11752300","11921392","12108635","12302396",
"East Asia & Pacific (excluding high income)","EAP","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","846211084","860786243","876851693","892842786","908351028","922863073","940741416","955819650","970209271","984679927","999022019","1009012723","1018397003","1028813980","1040079880","1048497796","1057162771","1069500592","1078077653","1085128079","1090877374","1100740079","1108695190","1113331486","1118888389","1123233965","1125830932","1130410380","1133429258",
"Early-demographic dividend","EAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","727471545","747299164","767899440","786979775","809671452","829018340","849489174","871658796","894569661","917981696","938021572","960084830","981782474","1004536653","1031196979","1054752763","1070642858","1089387591","1104516699","1120940369","1137535532","1153240373","1170097704","1192443781","1213846004","1237640498","1260119891","1284978568","1307002236",
"East Asia & Pacific","EAS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953013132","969651972","987256035","1004061162","1020978235","1036867182","1056186044","1072729051","1087235417","1102103830","1117159059","1127890153","1137701750","1148330455","1160154349","1169353857","1178957112","1192486921","1201824171","1209112638","1215394555","1225547803","1234038484","1239809803","1246732244","1252094438","1255855929","1261579242","1264672036",
